image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
https://image.goat.com/attachments/product_template_pictures/images/056/826/954/original/CT1983_701.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/954/original/CT1983_701.png.png,, https://flightclub.com/wmns-waffle-racer-crater-yellow-strike-roma-green-ct1983-701,https://goat.com/sneakers/wmns-waffle-racer-crater-yellow-strike-roma-green-ct1983-701,Wmns Waffle Racer Crater 'Yellow Strike Roma Green',Yellow Strike/Photon Dust/Chambray Blue/Roma Green,2021-06-29,2021,100.0,Waffle Racer,CT1983-701,,224.35999999999999,158
https://image.goat.com/attachments/product_template_pictures/images/056/826/968/original/CW3876_102.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/968/original/CW3876_102.png.png,, https://flightclub.com/wmns-zoom-air-fire-white-light-lemon-twist-cw3876-102,https://goat.com/sneakers/wmns-zoom-air-fire-white-light-lemon-twist-cw3876-102,Wmns Zoom Air Fire 'White Light Lemon Twist',White/Light Lemon Twist/Black/Metallic Silver,2021-06-29,2021,110.0,Zoom Air Fire,CW3876-102,,183.17999999999998,129
https://image.goat.com/attachments/product_template_pictures/images/056/826/935/original/CK0746_402.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/935/original/CK0746_402.png.png,, https://flightclub.com/alpha-huarache-elite-3-low-game-royal-ck0746-402,https://goat.com/sneakers/alpha-huarache-elite-3-low-game-royal-ck0746-402,Alpha Huarache Elite 3 Low 'Game Royal',Game Royal/White/Photo Blue/Black,2021-06-29,2021,90.0,Alpha Huarache,CK0746-402,,213.0,150
https://image.goat.com/attachments/product_template_pictures/images/056/826/992/original/DM8326_600.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/992/original/DM8326_600.png.png,, https://flightclub.com/wmns-air-max-270-pink-oxford-metallic-silver-dm8326-600,https://goat.com/sneakers/wmns-air-max-270-pink-oxford-metallic-silver-dm8326-600,Wmns Air Max 270 'Pink Oxford Metallic Silver',Pink Oxford/White/Metallic Silver,2021-06-29,2021,150.0,Air Max 270,DM8326-600,,255.6,180
https://image.goat.com/attachments/product_template_pictures/images/056/826/946/original/CK6208_010.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/946/original/CK6208_010.png.png,, https://flightclub.com/alpha-huarache-varsity-3-turf-black-iron-grey-ck6208-010,https://goat.com/sneakers/alpha-huarache-varsity-3-turf-black-iron-grey-ck6208-010,Alpha Huarache Varsity 3 Turf 'Black Iron Grey',Black/White/Iron Grey/Black,2021-06-29,2021,60.0,Alpha Huarache,CK6208-010,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/961/original/CV3552_104.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/961/original/CV3552_104.png.png,, https://flightclub.com/alpha-huarache-elite-3-low-white-grey-cv3552-104,https://goat.com/sneakers/alpha-huarache-elite-3-low-white-grey-cv3552-104,Alpha Huarache Elite 3 Low 'White Grey',White/Particle Grey/Bright Crimson/Black,2021-06-29,2021,90.0,Alpha Huarache,CV3552-104,,213.0,150
https://image.goat.com/attachments/product_template_pictures/images/056/827/040/original/GZ9128.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/040/original/GZ9128.png.png,, https://flightclub.com/racer-tr21-j-black-carbon-gz9128,https://goat.com/sneakers/racer-tr21-j-black-carbon-gz9128,Racer TR21 J 'Black Carbon',Core Black/Core Black/Carbon,2021-06-29,2021,55.0,Racer TR21,GZ9128,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/980/original/DA8570_001.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/980/original/DA8570_001.png.png,, https://flightclub.com/wmns-air-zoom-structure-24-black-white-da8570-001,https://goat.com/sneakers/wmns-air-zoom-structure-24-black-white-da8570-001,Wmns Air Zoom Structure 24 'Black White',Black/White,2021-06-29,2021,120.0,Air Zoom Structure,DA8570-001,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/921/original/CD0077_001.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/921/original/CD0077_001.png.png,, https://flightclub.com/vapor-edge-shark-gs-black-white-cd0077-001,https://goat.com/sneakers/vapor-edge-shark-gs-black-white-cd0077-001,Vapor Edge Shark GS 'Black White',Black/White,2021-06-29,2021,38.0,Vapor Edge,CD0077-001,,0.0,0
https://image.goat.com/attachments/product_template_pictures/images/056/826/944/original/CK2948_001.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/944/original/CK2948_001.png.png,, https://flightclub.com/wmns-venture-runner-black-white-ck2948-001,https://goat.com/sneakers/wmns-venture-runner-black-white-ck2948-001,Wmns Venture Runner 'Black White',Black/Black/White,2021-06-29,2021,70.0,Venture Runner,CK2948-001,,163.29999999999998,115
